Branch,Seats Per Year,Description,
,,,
Btech (4 years),,,
BB,60,Biotechnology Engineering,
CH,75,Chemical Engineering,
CE,110,Civil Engineering,
CS1,99,Computer Science Engineering,
DD,29,Department of Design,
EE1,110,Electrical Engineering,
EE3,54,Electrical Engineering (Power and Automation),
ES,40,Energy Science,
AM,40,Applied Mechanics,
EP,63,Engineering Physics,
MS,40,Material Sciences,
MT1,89,Mathmatics and Computing,
ME1,85,Mechanical Engineering,
ME2,83,Production Engineering,
TT,85,Textile Technology,
,,,
Total,1062,,
,,,
B.S. (4 Years),,,
CM,40,Chemistry,
,,,
Total,40,,
,,,
M.Sc. (2 Years),,,
HES,25,Economics,
HCS,25,Cognitive Science ,
MBA,112,Management Studies,
,,,
Total,242,,
,,,
B.Tech+M.Tech (5 Years),,,
CH5,46,Chemical Engineering,
CS5,37,Computer Science Engineering,
MT6,33,Mathmatics and Computing,
,,,
Total ,116,,
,,,
M.Tech (2 Years),,,
CSE,44,Computer Science Engineering,
JCS,25,Cyber Security,
EE,176,Electrical Engineering,
CE,220,Civil Engineering,
ME,132,Mechanical Engineering ,
CH,44,Chemical Engineering,
TT,88,Textile Technology,
MS,88,Material Science,
Interdisciplinary Centers,220,"Energy Studies, Optoelectronics, Atmospheric Sciences, MINDS (Data Science/AI)",
Others,132,"Biomedical, Industrial Tribology, Instrument Technology",
,,,
Total,1169,,
,,,
Ph.D (5 Years),700,"Annual Admission, Could not find the elaborated data",
,,,
,,,
,,,
,,,
Degree,Duration(Years),Total Intake Per Year,Number of Residing Students
,,,
B.Tech,4,1062,4248
B.Tech+M.Tech,5,116,580
M.Tech,2,1169,2338
M.Sc,2,242,484
B.S,4,40,160
Ph.D,5,700,3500
,,,
Total,,,11310
