Branch,Seats Per Year,Description,
BB,60,Biotechnology Engineering,
CH,75,Chemical Engineering,
CE,110,Civil Engineering,
CS1,99,Computer Science Engineering,
DD,29,Department of Design,
EE1,110,Electrical Engineering,
EE3,54,Electrical Engineering (Power and Automation),
ES,40,Energy Science,
AM,40,Applied Mechanics,
EP,63,Engineering Physics,
MS,40,Material Sciences,
MT1,89,Mathmatics and Computing,
ME1,85,Mechanical Engineering,
ME2,83,Production Engineering,
TT,85,Textile Technology,
CM,40,Chemistry B.S.,
CH7,46,Chemical Engineering Dual Degree,
CS5,37,Computer Science Dual Degree,
MT6,33,Mathematics and Computing Dual Degree,
