S.No,Course Name,Course Code,Slot Name,Units,Lecture Time,Tutorial Time,Practical Time,Vacancy,Room,Tut Room,Column 1,Column 2,Column 3
889,MINI PROJECT IN ARTIFICIAL INTELLIGENCE-AID710,AID710,P,0.0-0.0-6.0,,,,50,,,,,
890,M.TECH. PROJECT PART-I-AID891,AID891,P,0.0-0.0-12.0,,,,18,,,,,
891,MS RESEARCH PROJECT-AID895,AID895,P,0.0-0.0-72.0,,,,20,,,,,
896,MACHINE LEARNING LAB-I-AIP701,AIP701,P,0.0-0.0-2.0,,,,30,,,,,
897,INDEPENDENT STUDY IN ARTIFICIAL INTELLIGENCE-AIS710,AIS710,P,0.0-3.0-0.0,,,,50,,,,,
2,MAJOR PROJECT-AMD895,AMD895,X,0.0-0.0-80.0,,,,30,,,,,
3,DESIGN PROJECT-AMD899,AMD899,X,0.0-0.0-20.0,,,,35,,,,,
12,FLUIDS & SOLIDS LABORATORY-AMP262,AMP262,F,0.0-0.0-4.0,,,,60,,,,,
13,B.TECH. PROJECT-I-APD411,APD411,X,0.0-0.0-8.0,,,,60,,,,,
14,MAJOR PROJECT PART-I-APD811,APD811,X,0.0-0.0-12.0,,,,30,,,,,
15,MAJOR PROJECT PART-II-APD812,APD812,X,0.0-0.0-24.0,,,,30,,,,,
16,MS RESEARCH PROJECT-APD895,APD895,X,0.0-0.0-72.0,,,,30,,,,,
24,MECHANICS OF FLUIDS-APL107P,APL107P,P,0.0-0.0-2.0,,,,2,,,,,
733,CONTINUUM MECHANICS-APL701M,APL701M,A,3.0-0.0-0.0,MTh 08:00-09:30,,,60,,,,,
44,SEMINAR COURSE - I-APQ301,APQ301,X,0.0-0.0-2.0,,,,60,,,,,
93,MINOR AREA PROJECT-ASD390,ASD390,Q,0.0-0.0-10.0,,,,5,,,,,
94,PROJECT-I-ASD881,ASD881,Q,0.0-0.0-12.0,,,,15,,,,,
108,DATA ANALYSIS METHODS FOR ATMO-ASP731,ASP731,AA,0.0-0.0-4.0,,,,16,,,,,
49,MAJOR PROJECT PART 1 (BB1)-BBD451,BBD451,P,0.0-0.0-6.0,,,,90,,,,,
50,MAJOR PROJECT PART 1 (BB5)-BBD851,BBD851,X,0.0-0.0-12.0,,,,1,,,,,
51,MTP PART-I-BBD855,BBD855,P,0.0-0.0-12.0,,,,30,,,,,
52,MAJOR PROJECT (MSR)-BBD895,BBD895,P,0.0-0.0-72.0,,,,60,,,,,
70,BIOPROCESS ENGINEERING LAB-BBP332,BBP332,P,0.0-0.0-3.0,,,,90,,,,,
71,SEMINAR COURSE - I-BBQ301,BBQ301,P,0.0-0.0-2.0,,,,30,,,,,
72,SEMINAR COURSE - II-BBQ302,BBQ302,P,0.0-0.0-2.0,,,,30,,,,,
73,AGRICULTURE SUSTAINABILITY THROUGH PLANT-ASSOCIATED MICROBIOMES-BBV752,BBV752,X,1.0-0.0-0.0,,,,40,,,,,
119,MAJOR PROJECT-I-BMD801,BMD801,X,0.0-0.0-18.0,,,,60,,,,,
126,RESEARCH TECHNIQUES IN BIOMEDICAL ENGINEERING-BML800,BML800,AB,3.0-0.0-0.0,MTh 15:30-17:00,,,60,,,,,
128,CANCER : DIAGNOSIS AND THERAPY-BML850,BML850,J,3.0-0.0-0.0,MTF 12:00-13:00,,,60,,,,,
129,HEALTHCARE WEARABLES: DESIGN AND APPLICATIONS-BML880,BML880,AA,2.0-0.0-2.0,MTh 14:00-15:30,,,60,,,,,
130,BASIC ELECTRONICS-BMV701,BMV701,E,1.0-0.0-0.0,TWF 10:00-11:00,,,15,,,,,
131,BASIC MATHEMATICS FOR BIOLOGISTS-BMV702,BMV702,X,1.0-0.0-0.0,,,,15,,,,,
132,BASIC BIOLOGY & PHYSIOLOGY-BMV703,BMV703,D,1.0-0.0-0.0,TWF 09:00-10:00,,,15,,,,,
133,MECHANICS OF BIOMATERIALS-BMV705,BMV705,X,1.0-0.0-0.0,,,,15,,,,,
45,MAJOR PROJECT (MSR)-BSD895,BSD895,X,0.0-0.0-72.0,,,,30,,,,,
46,COMMUNICATION AND SIGNAL PROCESSING TECHNOLOGIES LABORATORY-BSP710,BSP710,P,0.0-1.0-4.0,,,,60,,,,,
47,STANDARDS - APPRECIATION OF STANDARDS-BSV711,BSV711,X,1.0-0.0-0.0,,,,30,,,,,
146,B. TECH. PROJECT-CLD411,CLD411,P,0.0-0.0-8.0,,,,160,,,,,
147,MAJOR PROJECT IN ENERGY & ENV.-CLD412,CLD412,P,0.0-0.0-10.0,,,,120,,,,,
148,MAJOR PROJECT IN COMPLEX FLUID-CLD413,CLD413,P,0.0-0.0-10.0,,,,120,,,,,
149,"MAJOR PROJ. IN P.E, MOD. & OP.-CLD414",CLD414,P,0.0-0.0-10.0,,,,120,,,,,
150,MAJOR PROJ IN BIOP. & FINE CH.-CLD415,CLD415,P,0.0-0.0-10.0,,,,120,,,,,
151,MINOR PROJECT-CLD771,CLD771,P,0.0-0.0-6.0,,,,60,,,,,
152,MAJOR PROJECT - I-CLD781,CLD781,P,0.0-0.0-16.0,,,,60,,,,,
