Student ID,Batch Number,Year,Branch,Hostel,Group Number,Total Courses,Courses Allotted,Slots Allotted,Home Latitude,Home Longitude
2024BB0001,1BB,1,BB,shivalik,1,8,"APL100, CML101, MTL100, MCP100, MCP101, NIN100, NEN110, NLN100","A, AF, D, P, P, X, X, X",28.54721833846154,77.18590926923076
2024BB0002,1BB,1,BB,satpura,2,8,"APL100, CML101, MTL100, MCP100, MCP101, NIN100, NEN110, NLN100","A, AF, D, P, P, X, X, X",28.54822844,77.18791238
2024BB0003,1BB,1,BB,kailash,4,8,"APL100, CML101, MTL100, MCP100, MCP101, NIN100, NEN110, NLN100","A, AF, D, P, P, X, X, X",28.5446385,77.1965784
2024BB0004,1BB,1,BB,udaigiri,3,8,"APL100, CML101, MTL100, MCP100, MCP101, NIN100, NEN110, NLN100","A, AF, D, P, P, X, X, X",28.547653,77.1893514
2024BB0005,1BB,1,BB,satpura,1,8,"APL100, CML101, MTL100, MCP100, MCP101, NIN100, NEN110, NLN100","A, AF, D, P, P, X, X, X",28.54822844,77.18791238
2024BB0006,1BB,1,BB,zanskar,4,8,"APL100, CML101, MTL100, MCP100, MCP101, NIN100, NEN110, NLN100","A, AF, D, P, P, X, X, X",28.54682592857143,77.18636504285715
2024BB0007,1BB,1,BB,karakoram,3,8,"APL100, CML101, MTL100, MCP100, MCP101, NIN100, NEN110, NLN100","A, AF, D, P, P, X, X, X",28.5477768,77.1829565
2024BB0008,1BB,1,BB,jwala,3,8,"APL100, CML101, MTL100, MCP100, MCP101, NIN100, NEN110, NLN100","A, AF, D, P, P, X, X, X",28.5497073,77.1839684
2024BB0009,1BB,1,BB,vindhyachal,3,8,"APL100, CML101, MTL100, MCP100, MCP101, NIN100, NEN110, NLN100","A, AF, D, P, P, X, X, X",28.54845418108108,77.18637481621622
2024BB0010,1BB,1,BB,himadri,3,8,"APL100, CML101, MTL100, MCP100, MCP101, NIN100, NEN110, NLN100","A, AF, D, P, P, X, X, X",28.5452966,77.1971108
2024BB0011,1BB,1,BB,satpura,4,8,"APL100, CML101, MTL100, MCP100, MCP101, NIN100, NEN110, NLN100","A, AF, D, P, P, X, X, X",28.54822844,77.18791238
2024BB0012,1BB,1,BB,girnar,2,8,"APL100, CML101, MTL100, MCP100, MCP101, NIN100, NEN110, NLN100","A, AF, D, P, P, X, X, X",28.5476382,77.1888821
2024BB0013,1BB,1,BB,jwala,2,8,"APL100, CML101, MTL100, MCP100, MCP101, NIN100, NEN110, NLN100","A, AF, D, P, P, X, X, X",28.5497073,77.1839684
